Packet Number,Deed Number,,Deed Name,Deed Type,Case Ref,Transaction Date,Consideration Â£
OP00008,0001,,"LAND AT BOUNDARY CLOSE, USHAW MOOR",Freehold Acquisition,,12-Jun-19,0
OP00009,0001,,"LAND AT RIDDING ROAD, ESH WINNING",Freehold Acquisition,,12-Jun-19,0
OP00010,0001,,"LAND AT COMMERCIAL STREET, BRANDON",Freehold Acquisition,,12-Jun-19,0
OP00011,0001,,"LAND AT FORMER COUNCIL DEPOT, CUMMINGS AVENUE, SHERBURN VILLAGE",Freehold Acquisition,,12-Jun-19,0
D001765,0001,,"LAND AT MORLEY CRESCENT, KELLOE",Freehold Acquisition,,26-Jun-19,1
D001779,0001,,LAND AT DRAGONVILLE INDUSTRIAL ESTATE DAMSON WAY DRAGONVILLE ,Freehold Acquisition,,23-Aug-19,215000
ED01006,0014,,1.401 ACRES OR THEREABOUTS OF LAND ADJACENT TO BOWBURN INFANT SCHOOL,Freehold Acquisition,,18-Oct-19,65000
PL00504,0001,,"FORMER EASINGTON COLLIERY PRIMARY SCHOOL, SEASIDE LANE, EASINGTON COLLIERY, PETERLEE, CO DURHAM, SR8 3LJ",Freehold Acquisition,,29-Oct-19,53000
AL00002,0007,,LAND AT SHERBURN ROAD DURHAM COUNTY DURHAM,Freehold Acquisition,,09-Dec-19,1
CA00008,0001,,"67 DURHAM ROAD, SACRISTON",Freehold Acquisition,ACQ00051,06-May-20,260000
CA00010,0001,,"16 HICKSTEAD RISE, NEWTON AYCLIFFE",Freehold Acquisition,ACQ00057,19-Jun-20,335000
D401118,0006,,LAND AT SOUTH EAST VIEW HORDEN ,Freehold Acquisition,,26-Jun-20,1
HO00010,0001,,1 and 1A HAWTHORN TERRACE BISHOP MIDDLEHAM FERRYHILL COUNTY DURHAM,Freehold Acquisition,,07-Jul-20,45000
HO00010,0002,,1a Hawthorn Terrace Bishop Middleham Ferryhill County Durham,Leasehold Acquisition,,07-Jul-20,45000
PL00491,0219,,"LAND AT NETPARK, SEDGEFIELD",Freehold Acquisition,,16-Jul-20,402126
D001852,0001,,LAND AT FESTIVAL WALK SPENNYMOOR,Freehold Acquisition,,28-Aug-20,216000
D401847,0004,,SITE EP181/11 NOVUS BUSINESS CENTRE JUDSON ROAD NORTH WEST INDUSTRIAL ESTATE PETERLEE COUNTY DURHAM,Freehold Acquisition,,09-Sep-20,1
LM00128,0001,,"LAND AT DALE ROAD, SHILDON",Freehold Acquisition,ACQ00080,06-Nov-20,1
LM00128,0013,,"Land at Dale Road, Shildon",Freehold Acquisition,,06-Nov-20,1
LG00018,0004,,LAND COMPRISING THE MANOR HOUSE AND ADJOINING LAND AT MOUNT OSWALD,Freehold Acquisition,,16-Dec-20,1
HO00016,0001,,"47 TEESDALE WALK, BISHOP AUCKLAND",Freehold Acquisition,,25-Feb-21,36000
HO00038,0001,,24 FARNHAM CLOSE NEWTON AYCLIFFE DL5 4RP ,Leasehold Acquisition,,31-Mar-21,45000
HO00029,0002,,"88 ROWAN COURT, SPENNYMOOR",Leasehold Acquisition,,01-Apr-21,55000
ED00484,0007,,LAND AT ST JOSEPHS RC PRIMARY SCHOOL  VICTORIA LANE COUNDON ,Freehold Acquisition,,27-May-21,0
HO00031,0001,,12 GAINSBOROUGH COURT BISHOP AUCKLAND COUNTY DURHAM,Leasehold Acquisition,ACQ00106,14-Oct-21,56000
ED01171,0017,,LAND ADJ ESCOMB PRIMAY SCHOOL THREE LANE ENDS ESCOMB BISHIP AUCKLAND COUNTY DURHAM,Freehold Acquisition,,22-Oct-21,1
PL00512,0001,,THE FORMER VILLAGE INN,Freehold Acquisition,,22-Oct-21,1210
HO00036,0001,,"28 THORNTON'S CLOSE, PELTON, CHESTER LE STREET",Leasehold Acquisition,,08-Nov-21,41000
